PLAYER_ID,PLAYER_NAME_post,TEAM_ID_post,TEAM_ABBREVIATION_post,AGE_post,GP_post,MIN_post,PIE_post,USG_PCT_post,PLAYER_NAME_pre,TEAM_ID_pre,TEAM_ABBREVIATION_pre,AGE_pre,GP_pre,MIN_pre,PIE_pre,USG_PCT_pre,PIE_previous,PIE_following,GP_following,TEAM_ID_following,TEAM_ABBREVIATION_following,season,avg_wins_3yr,PIE_change,USG_change,PIE_diff,POSITION_simplified,OVERALL_PICK,change_team
202711,Bojan Bogdanovic,1610612751,BKN,26.0,27,25.8,0.092,0.18,Bojan Bogdanovic,1610612751,BKN,26.0,51,22.7,0.06,0.162,,0.072,79.0,1610612751.0,BKN,2014-15,38.333333333333336,0.032,0.017999999999999988,-0.020000000000000004,Forward,31.0,False
101139,CJ Miles,1610612754,IND,28.0,27,28.2,0.107,0.223,CJ Miles,1610612754,IND,28.0,43,25.1,0.08,0.235,0.092,0.082,64.0,1610612754.0,IND,2014-15,49.0,0.026999999999999996,-0.011999999999999983,-0.024999999999999994,Guard,34.0,False
201978,Chase Budinger,1610612750,MIN,27.0,23,27.4,0.105,0.164,Chase Budinger,1610612750,MIN,27.0,44,14.9,0.068,0.158,0.066,0.074,66.0,1610612756.0,PHX,2014-15,32.333333333333336,0.03699999999999999,0.006000000000000005,-0.031,Forward,44.0,True
201568,Danilo Gallinari,1610612743,DEN,26.0,24,31.2,0.124,0.228,Danilo Gallinari,1610612743,DEN,26.0,35,19.3,0.098,0.198,,0.124,53.0,1610612743.0,DEN,2014-15,43.666666666666664,0.025999999999999995,0.03,0.0,Forward,6.0,False
203901,Elfrid Payton,1610612753,ORL,21.0,26,35.4,0.108,0.179,Elfrid Payton,1610612753,ORL,21.0,56,28.0,0.079,0.179,,0.091,73.0,1610612753.0,ORL,2014-15,26.666666666666668,0.028999999999999998,0.0,-0.017,Guard,10.0,False
203477,Isaiah Canaan,1610612755,PHI,24.0,22,25.9,0.086,0.225,Isaiah Canaan,1610612755,PHI,24.0,25,14.8,0.083,0.189,0.045,0.071,77.0,1610612755.0,PHI,2014-15,29.333333333333332,0.002999999999999989,0.036000000000000004,-0.015,Guard,34.0,False
203109,Jae Crowder,1610612738,BOS,24.0,30,27.4,0.103,0.189,Jae Crowder,1610612738,BOS,24.0,52,15.9,0.081,0.149,0.077,0.103,73.0,1610612738.0,BOS,2014-15,35.0,0.021999999999999992,0.04000000000000001,0.0,Forward,34.0,False
202391,Jeremy Lin,1610612747,LAL,26.0,22,26.5,0.124,0.241,Jeremy Lin,1610612747,LAL,26.0,52,25.5,0.087,0.203,0.095,0.092,78.0,1610612766.0,CHA,2014-15,37.666666666666664,0.037000000000000005,0.03799999999999998,-0.032,Guard,61.0,True
203903,Jordan Clarkson,1610612747,LAL,23.0,28,32.6,0.121,0.239,Jordan Clarkson,1610612747,LAL,23.0,31,18.1,0.088,0.215,,0.087,79.0,1610612747.0,LAL,2014-15,37.666666666666664,0.033,0.023999999999999994,-0.034,Guard,46.0,False
203457,Nerlens Noel,1610612755,PHI,21.0,26,32.1,0.14,0.192,Nerlens Noel,1610612755,PHI,21.0,49,30.1,0.089,0.157,,0.113,67.0,1610612755.0,PHI,2014-15,29.333333333333332,0.05100000000000002,0.035,-0.02700000000000001,Forward,6.0,False
